Folder,Base,Mixed,BaseValue,MixedValue,Difference
10304_results,Top5Similarity,Top5Similarity+K-Means,100,76,-24
10304_results,Top5Similarity,Top5Similarity+Farthest,100,76,-24
10304_results,Top5Similarity,Top5Similarity+ODAL,100,100,0
10304_results,Top5Similarity,Top5Similarity+K-Center,100,71,-29
10304_results,Max Comp,Max Comp+Top5Similarity,75,100,25
10304_results,Max Comp,Max Comp+Min Comp,75,72,-3
10304_results,Max Comp,Max Comp+Centroids_saturation_high,75,71,-4
10304_results,Max Comp,Max Comp+Centroids_saturation_medium,75,77,2
10304_results,Max Comp,Max Comp+Centroids_saturation_low,75,66,-9
10304_results,Max Comp,Max Comp+Random,75,68,-7
10304_results,Max Comp,Max Comp+LHS,75,64,-11
10304_results,Max Comp,Max Comp+K-Means,75,84,9
10304_results,Max Comp,Max Comp+Farthest,75,75,0
10304_results,Max Comp,Max Comp+ODAL,75,70,-5
10304_results,Max Comp,Max Comp+K-Center,75,100,25
10304_results,Min Comp,Min Comp+Top5Similarity,75,75,0
10304_results,Min Comp,Min Comp+Max Comp,75,72,-3
10304_results,Min Comp,Min Comp+Centroids_saturation_high,75,70,-5
10304_results,Min Comp,Min Comp+Centroids_saturation_medium,75,79,4
10304_results,Min Comp,Min Comp+Centroids_saturation_low,75,72,-3
10304_results,Min Comp,Min Comp+Random,75,71,-4
10304_results,Min Comp,Min Comp+LHS,75,72,-3
10304_results,Min Comp,Min Comp+K-Means,75,68,-7
10304_results,Min Comp,Min Comp+Farthest,75,70,-5
10304_results,Min Comp,Min Comp+ODAL,75,69,-6
10304_results,Min Comp,Min Comp+K-Center,75,76,1
10304_results,Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,80,100,20
10304_results,Centroids_saturation_high,Centroids_saturation_high+Max Comp,80,71,-9
10304_results,Centroids_saturation_high,Centroids_saturation_high+Min Comp,80,70,-10
10304_results,Centroids_saturation_high,Centroids_saturation_high+Centroids_saturation_medium,80,59,-21
10304_results,Centroids_saturation_high,Centroids_saturation_high+Centroids_saturation_low,80,69,-11
10304_results,Centroids_saturation_high,Centroids_saturation_high+Random,80,65,-15
10304_results,Centroids_saturation_high,Centroids_saturation_high+LHS,80,73,-7
10304_results,Centroids_saturation_high,Centroids_saturation_high+K-Means,80,77,-3
10304_results,Centroids_saturation_high,Centroids_saturation_high+Farthest,80,78,-2
10304_results,Centroids_saturation_high,Centroids_saturation_high+ODAL,80,72,-8
10304_results,Centroids_saturation_high,Centroids_saturation_high+K-Center,80,58,-22
10304_results,Centroids_saturation_medium,Centroids_saturation_medium+Top5Similarity,100,100,0
10304_results,Centroids_saturation_medium,Centroids_saturation_medium+Max Comp,100,77,-23
10304_results,Centroids_saturation_medium,Centroids_saturation_medium+Min Comp,100,79,-21
10304_results,Centroids_saturation_medium,Centroids_saturation_medium+Centroids_saturation_high,100,59,-41
10304_results,Centroids_saturation_medium,Centroids_saturation_medium+Centroids_saturation_low,100,80,-20
10304_results,Centroids_saturation_medium,Centroids_saturation_medium+Random,100,68,-32
10304_results,Centroids_saturation_medium,Centroids_saturation_medium+LHS,100,71,-29
10304_results,Centroids_saturation_medium,Centroids_saturation_medium+K-Means,100,75,-25
10304_results,Centroids_saturation_medium,Centroids_saturation_medium+Farthest,100,72,-28
10304_results,Centroids_saturation_medium,Centroids_saturation_medium+ODAL,100,73,-27
10304_results,Centroids_saturation_medium,Centroids_saturation_medium+K-Center,100,91,-9
10304_results,Centroids_saturation_low,Centroids_saturation_low+Top5Similarity,83,100,17
10304_results,Centroids_saturation_low,Centroids_saturation_low+Max Comp,83,66,-17
10304_results,Centroids_saturation_low,Centroids_saturation_low+Min Comp,83,72,-11
10304_results,Centroids_saturation_low,Centroids_saturation_low+Centroids_saturation_high,83,69,-14
10304_results,Centroids_saturation_low,Centroids_saturation_low+Centroids_saturation_medium,83,80,-3
10304_results,Centroids_saturation_low,Centroids_saturation_low+Random,83,73,-10
10304_results,Centroids_saturation_low,Centroids_saturation_low+LHS,83,67,-16
10304_results,Centroids_saturation_low,Centroids_saturation_low+K-Means,83,73,-10
10304_results,Centroids_saturation_low,Centroids_saturation_low+Farthest,83,68,-15
10304_results,Centroids_saturation_low,Centroids_saturation_low+ODAL,83,67,-16
10304_results,Centroids_saturation_low,Centroids_saturation_low+K-Center,83,70,-13
10304_results,Random,Random+Top5Similarity,74,73,-1
10304_results,Random,Random+Max Comp,74,68,-6
10304_results,Random,Random+Min Comp,74,71,-3
10304_results,Random,Random+Centroids_saturation_high,74,65,-9
10304_results,Random,Random+Centroids_saturation_medium,74,68,-6
10304_results,Random,Random+Centroids_saturation_low,74,73,-1
10304_results,Random,Random+LHS,74,73,-1
10304_results,Random,Random+K-Means,74,75,1
10304_results,Random,Random+Farthest,74,76,2
10304_results,Random,Random+ODAL,74,66,-8
10304_results,Random,Random+K-Center,74,73,-1
10304_results,LHS,LHS+Top5Similarity,76,67,-9
10304_results,LHS,LHS+Max Comp,76,64,-12
10304_results,LHS,LHS+Min Comp,76,72,-4
10304_results,LHS,LHS+Centroids_saturation_high,76,73,-3
10304_results,LHS,LHS+Centroids_saturation_medium,76,71,-5
10304_results,LHS,LHS+Centroids_saturation_low,76,67,-9
10304_results,LHS,LHS+Random,76,73,-3
10304_results,LHS,LHS+K-Means,76,70,-6
10304_results,LHS,LHS+Farthest,76,71,-5
