ID,x,y,Au,Cu,Pd,Pt,Resistance
67,4500.0,-22500.0,0.28859999999999997,0.1445,0.4092,0.1577,0.9493678833333332
68,9000.0,-22500.0,0.2662,0.14529999999999998,0.4315,0.157,0.9480495266666666
69,13500.0,-22500.0,0.23712371237123714,0.14981498149814984,0.4606460646064607,0.15241524152415242,0.9439335866666668
70,18000.0,-22500.0,0.20887911208879115,0.16688331166883313,0.4814518548145186,0.14278572142785723,0.9369251566666666
71,22500.0,-22500.0,0.19829999999999998,0.16760000000000003,0.5028,0.1313,0.9282065466666668
72,27000.0,-22500.0,0.17858214178582144,0.17188281171882813,0.5254474552544746,0.12408759124087593,0.91745325
73,31500.0,-22500.0,0.15558444155584442,0.18078192180781918,0.5397460253974602,0.12388761123887611,0.9039067166666668
74,36000.0,-22500.0,0.1414858514148585,0.18568143185681432,0.5569443055694431,0.11588841115888411,0.8948648733333333
75,40500.0,-22500.0,0.131,0.1826,0.5775,0.10890000000000001,0.9044945066666668
76,-40500.0,-18000.0,0.49684968496849685,0.09510951095109511,0.1936193619361936,0.21442144214421444,0.93525032
77,-36000.0,-18000.0,0.4769,0.0897,0.2095,0.22390000000000002,0.9444068266666666
78,-31500.0,-18000.0,0.46380000000000005,0.0958,0.221,0.2194,0.9505294366666668
79,-27000.0,-18000.0,0.4364563543645636,0.09759024097590242,0.24597540245975405,0.21997800219978003,0.9559181666666666
80,-22500.0,-18000.0,0.4122,0.1139,0.2625,0.2114,0.96156313
81,-18000.0,-18000.0,0.3948,0.111,0.2864,0.2078,0.9656986033333332
82,-13500.0,-18000.0,0.3724,0.1243,0.30210000000000004,0.20120000000000002,0.9685194233333332
83,-9000.0,-18000.0,0.3414,0.1343,0.3282,0.1961,0.9716234933333332
84,-4500.0,-18000.0,0.31493149314931496,0.14221422142214224,0.35123512351235125,0.19161916191619163,0.9725634566666668
85,0.0,-18000.0,0.2965,0.14,0.3839,0.1796,0.9713760533333332
86,4500.0,-18000.0,0.2692730726927307,0.1571842815718428,0.39736026397360263,0.17618238176182383,0.9688018233333332
87,9000.0,-18000.0,0.245,0.1641,0.42090000000000005,0.17,0.9661332433333332
88,13500.0,-18000.0,0.22977702229777022,0.1688831116888311,0.4393560643935606,0.161983801619838,0.9603561166666666
89,18000.0,-18000.0,0.20179999999999998,0.16909999999999997,0.46959999999999996,0.15949999999999998,0.9532222466666668
90,22500.0,-18000.0,0.18380000000000002,0.18120000000000003,0.48510000000000003,0.14990000000000003,0.9421722033333334
91,27000.0,-18000.0,0.1627162716271627,0.1807180718071807,0.5122512251225122,0.1443144314431443,0.9316799666666667
92,31500.0,-18000.0,0.1435,0.1966,0.5247999999999999,0.1351,0.9197317666666668
93,36000.0,-18000.0,0.1311,0.2053,0.5389,0.1247,0.9089311766666668
94,40500.0,-18000.0,0.1189,0.2022,0.5589,0.12,0.9019088533333334
95,-45000.0,-13500.0,0.5088,0.0776,0.17309999999999998,0.24050000000000002,0.99253788
96,-40500.0,-13500.0,0.4769,0.0974,0.187,0.23870000000000002,0.9885141833333332
97,-36000.0,-13500.0,0.44750000000000006,0.09860000000000001,0.21150000000000002,0.24240000000000003,0.9889267366666666
98,-31500.0,-13500.0,0.44155584441555845,0.09619038096190381,0.21907809219078095,0.24317568243175686,0.9921576566666668
99,-27000.0,-13500.0,0.42119999999999996,0.11130000000000001,0.22940000000000002,0.23809999999999998,0.99377711
100,-22500.0,-13500.0,0.38136186381361864,0.12088791120887911,0.2574742525747425,0.24027597240275972,0.9955294733333332
101,-18000.0,-13500.0,0.37466253374662534,0.12618738126187382,0.2716728327167284,0.22747725227477256,0.9957037466666668
102,-13500.0,-13500.0,0.35159999999999997,0.1375,0.2847,0.2262,0.9951379233333332
103,-9000.0,-13500.0,0.3249,0.1422,0.3164,0.2165,0.99591422
104,-4500.0,-13500.0,0.30123012301230123,0.1417141714171417,0.34033403340334034,0.21672167216721674,0.9940986466666666
105,0.0,-13500.0,0.2755,0.149,0.36460000000000004,0.2109,0.99103768
106,4500.0,-13500.0,0.249,0.1618,0.3896,0.1996,0.9871584633333332
107,9000.0,-13500.0,0.23530000000000004,0.164,0.41080000000000005,0.1899,0.9822773633333332
108,13500.0,-13500.0,0.2086,0.1866,0.4227,0.1821,0.97555431
109,18000.0,-13500.0,0.1909,0.1802,0.45280000000000004,0.1761,0.96719811
110,22500.0,-13500.0,0.1727,0.1938,0.4678,0.16570000000000001,0.95751002
111,27000.0,-13500.0,0.1576157615761576,0.2104210421042104,0.4804480448044804,0.1515151515151515,0.9461216366666666
112,31500.0,-13500.0,0.1426,0.19920000000000002,0.5097,0.1485,0.93472475
113,36000.0,-13500.0,0.1273,0.20879999999999999,0.5264,0.1375,0.9229136833333332
114,40500.0,-13500.0,0.1121,0.2191,0.5405,0.1283,0.91373613
115,45000.0,-13500.0,0.1016,0.221,0.5565,0.1209,0.9535864033333332
116,-45000.0,-9000.0,0.47229999999999994,0.0867,0.17149999999999999,0.2695,1.0403787
117,-40500.0,-9000.0,0.44530000000000003,0.1116,0.172,0.2711,1.0331912
118,-36000.0,-9000.0,0.4325,0.1017,0.1852,0.28059999999999996,1.0303608
119,-31500.0,-9000.0,0.41659999999999997,0.1042,0.2089,0.2703,1.0281862
120,-27000.0,-9000.0,0.3887,0.10710000000000001,0.2361,0.2681,1.0251540666666668
121,-22500.0,-9000.0,0.37276272372762725,0.11798820117988201,0.2428757124287571,0.2663733626637336,1.023528633333333
122,-18000.0,-9000.0,0.34683468346834684,0.1337133713371337,0.2633263326332633,0.25612561256125616,1.0206693333333334
123,-13500.0,-9000.0,0.3239,0.1361,0.29359999999999997,0.2464,1.018142833333333
