ID,x,y,Au,Pd,Pt,Rh,Ru,Resistance
125,-4500,-9000,0.2561,0.1809,0.13140000000000002,0.24530000000000002,0.1863,0.8998909866666668
126,0,-9000,0.2763276327632763,0.19031903190319033,0.12851285128512852,0.22202220222022204,0.18281828182818283,0.9000359033333333
127,4500,-9000,0.2911,0.2013,0.11870000000000001,0.20370000000000005,0.18520000000000003,0.9017203366666668
128,9000,-9000,0.3066,0.20379999999999998,0.1128,0.188,0.1888,0.9044523333333332
129,13500,-9000,0.3222,0.2193,0.1045,0.17300000000000001,0.18100000000000002,0.90563254
130,18000,-9000,0.3373337333733374,0.23452345234523456,0.09960996099609964,0.15421542154215426,0.17431743174317435,0.9066768266666668
131,22500,-9000,0.353,0.2437,0.09119999999999999,0.136,0.1761,0.9073274833333334
132,27000,-9000,0.36506349365063495,0.25727427257274277,0.08579142085791422,0.12038796120387961,0.17148285171482852,0.9079571833333334
133,31500,-9000,0.3762,0.2623,0.0837,0.11130000000000001,0.16649999999999998,0.90574338
134,36000,-9000,0.3911608839116088,0.2731726827317268,0.0692930706929307,0.10578942105789421,0.1605839416058394,0.8969809833333333
135,40500,-9000,0.40640000000000004,0.27990000000000004,0.066,0.08910000000000001,0.15860000000000002,0.9120344833333331
136,45000,-9000,0.4192,0.28809999999999997,0.0604,0.07769999999999999,0.15460000000000002,0.93695285
137,-45000,-4500,0.12029999999999999,0.1085,0.18239999999999998,0.42210000000000003,0.16670000000000001,0.9062526833333332
138,-40500,-4500,0.1352,0.11779999999999999,0.18539999999999998,0.3954,0.16620000000000001,0.8997660966666667
139,-36000,-4500,0.1504150415041504,0.128012801280128,0.18191819181918192,0.375037503750375,0.1646164616461646,0.8956356700000001
140,-31500,-4500,0.1537,0.1378,0.18289999999999998,0.3525,0.17309999999999998,0.89494541
141,-27000,-4500,0.16879999999999998,0.14400000000000002,0.1784,0.3336,0.1752,0.8958301033333333
