ID,x,y,Ag,Au,Cu,Pd,Pt,Resistance
149,9000,-4500,0.1730826917308269,0.17968203179682032,0.23527647235276475,0.2784721527847216,0.13348665133486654,0.7297386833333334
150,13500,-4500,0.162,0.16699999999999998,0.2525,0.2907,0.1278,0.7522072533333334
151,18000,-4500,0.1467,0.15109999999999998,0.2639,0.3122,0.1261,0.7719529933333333
152,22500,-4500,0.1327265453090618,0.1402280456091218,0.2793558711742348,0.3300660132026405,0.11762352470494099,0.7888860433333333
153,27000,-4500,0.11650000000000002,0.12750000000000003,0.28850000000000003,0.3526,0.11490000000000002,0.8017724333333334
154,31500,-4500,0.10831083108310832,0.11721172117211723,0.2954295429542954,0.3698369836983698,0.10921092109210921,0.8109761766666667
155,36000,-4500,0.1001,0.1036,0.30879999999999996,0.3845,0.10300000000000001,0.8180185733333333
156,40500,-4500,0.0948,0.09709999999999999,0.30789999999999995,0.4050999999999999,0.09509999999999999,0.82311574
157,45000,-4500,0.08529147085291469,0.08499150084991501,0.32016798320167983,0.4206579342065793,0.0888911108889111,0.8351822033333334
158,-45000,0,0.41144114411441146,0.27722772277227725,0.09380938093809382,0.0837083708370837,0.13381338133813384,0.4627168633333333
159,-40500,0,0.3896389638963897,0.27682768276827685,0.10721072107210722,0.08910891089108912,0.13721372137213722,0.4824377466666666
160,-36000,0,0.3772622737726227,0.26877312268773124,0.11428857114288572,0.09659034096590342,0.14308569143085692,0.5042007666666667
161,-31500,0,0.3548,0.26350000000000007,0.12050000000000002,0.11350000000000002,0.14770000000000003,0.52658633
162,-27000,0,0.33270000000000005,0.2566,0.1394,0.1222,0.1491,0.5495374466666667
163,-22500,0,0.3176,0.2468,0.1474,0.1386,0.1496,0.5735259500000001
164,-18000,0,0.292970702929707,0.23727627237276272,0.16368363163683633,0.1523847615238476,0.1536846315368463,0.5980380666666666
165,-13500,0,0.278027802780278,0.2245224522452245,0.1748174817481748,0.1694169416941694,0.1532153215321532,0.62287214
166,-9000,0,0.25777422257774224,0.2146785321467853,0.18958104189581043,0.18638136186381363,0.15158484151584842,0.6490631566666667
167,-4500,0,0.23757624237576241,0.19888011198880112,0.20587941205879412,0.20317968203179682,0.1544845515448455,0.67365949
168,0,0,0.2188,0.1911,0.2195,0.2217,0.1489,0.6983921566666667
169,4500,0,0.1941,0.174,0.23600000000000002,0.24739999999999998,0.1485,0.7228601033333334
170,9000,0,0.18038196180381963,0.16448355164483552,0.25047495250474955,0.26077392260773924,0.14388561143885614,0.7451797566666667
171,13500,0,0.1639163916391639,0.1522152215221522,0.2601260126012601,0.2815281528152815,0.1422142214221422,0.7648797466666667
172,18000,0,0.1528,0.1433,0.27140000000000003,0.2985,0.134,0.7820857666666666
173,22500,0,0.13949999999999999,0.1293,0.2872,0.3156,0.1284,0.7958382733333333
174,27000,0,0.12229999999999999,0.11759999999999998,0.29469999999999996,0.34029999999999994,0.1251,0.8067844033333333
175,31500,0,0.1105110511051105,0.10801080108010801,0.3105310531053105,0.3536353635363536,0.1173117311731173,0.81487166
176,36000,0,0.0999,0.09880000000000001,0.32130000000000003,0.368,0.11199999999999999,0.8195989166666667
177,40500,0,0.09370937093709371,0.0879087908790879,0.3282328232823283,0.3848384838483848,0.10531053105310531,0.8225309900000001
178,45000,0,0.08430000000000001,0.08370000000000001,0.33570000000000005,0.3989000000000001,0.09740000000000001,0.8311248333333334
179,-45000,4500,0.42015798420157985,0.257974202579742,0.0983901609839016,0.0785921407859214,0.14488551144885511,0.4850183433333333
180,-40500,4500,0.3928999999999999,0.25579999999999997,0.11499999999999998,0.08429999999999999,0.15199999999999997,0.5058754433333333
181,-36000,4500,0.3795,0.2482,0.1223,0.0915,0.1585,0.5280725666666667
182,-31500,4500,0.35806419358064195,0.2431756824317568,0.1326867313268673,0.1033896610338966,0.1626837316268373,0.5508924966666666
183,-27000,4500,0.337966203379662,0.236976302369763,0.14438556144385561,0.11588841115888411,0.16478352164783522,0.5741525533333333
184,-22500,4500,0.32296770322967705,0.22627737226277372,0.15218478152184783,0.12968703129687034,0.16888311168883113,0.5979907699999999
185,-18000,4500,0.2999,0.21969999999999998,0.1678,0.14279999999999998,0.1698,0.6231059999999999
186,-13500,4500,0.27629999999999993,0.21319999999999997,0.18119999999999997,0.16059999999999997,0.1687,0.6480215733333333
187,-9000,4500,0.2613,0.1985,0.19469999999999998,0.1761,0.16940000000000002,0.6722236366666666
188,-4500,4500,0.24309999999999998,0.1867,0.2141,0.1893,0.1668,0.6958965533333333
189,0,4500,0.2202,0.1791,0.2225,0.2159,0.1623,0.71954131
190,4500,4500,0.2069,0.162,0.2365,0.2305,0.1641,0.74186853
191,9000,4500,0.18368163183681632,0.1560843915608439,0.2580741925807419,0.24497550244975502,0.1571842815718428,0.76236452
192,13500,4500,0.165,0.1452,0.26780000000000004,0.26940000000000003,0.15259999999999999,0.7801204333333334
193,18000,4500,0.14679999999999999,0.1336,0.2939,0.2805,0.1452,0.7948970766666666
194,22500,4500,0.1355,0.12140000000000001,0.3015,0.2989,0.1427,0.8056396366666667
195,27000,4500,0.1245,0.1109,0.31,0.3176,0.13699999999999998,0.8146655166666666
196,31500,4500,0.115,0.1009,0.3194,0.3378,0.12689999999999999,0.82008643
197,36000,4500,0.1054,0.0902,0.3382,0.3471,0.1191,0.8232794966666667
198,40500,4500,0.08910891089108912,0.0819081908190819,0.35043504350435045,0.36363636363636365,0.11491149114911492,0.8237649699999999
199,45000,4500,0.08199999999999999,0.0789,0.355,0.3786,0.10550000000000001,0.8317652333333334
200,-45000,9000,0.4166,0.24170000000000005,0.1068,0.07570000000000002,0.1592,0.5107475
201,-40500,9000,0.39909999999999995,0.23579999999999998,0.11539999999999999,0.08310000000000001,0.1666,0.5319026499999999
202,-36000,9000,0.37829999999999997,0.2322,0.1278,0.0907,0.171,0.5542450866666666
203,-31500,9000,0.35856414358564137,0.22717728227177278,0.13318668133186679,0.10398960103989599,0.17708229177082288,0.5777045833333333
204,-27000,9000,0.33899999999999997,0.2161,0.15130000000000002,0.11410000000000001,0.1795,0.60120695
205,-22500,9000,0.3194680531946805,0.21187881211878812,0.1607839216078392,0.1250874912508749,0.1827817218278172,0.62474769
206,-18000,9000,0.3028697130286971,0.20527947205279473,0.1723827617238276,0.1368863113688631,0.18258174182581743,0.6493606766666667
207,-13500,9000,0.285,0.19649999999999998,0.1855,0.1499,0.18309999999999998,0.67298976
208,-9000,9000,0.2635,0.18760000000000002,0.20190000000000002,0.1653,0.18170000000000003,0.6964892333333333
209,-4500,9000,0.24210000000000004,0.1715,0.2204,0.1836,0.1824,0.71953159
210,0,9000,0.2202220222022202,0.16401640164016398,0.23072307230723071,0.2047204720472047,0.18031803180318032,0.7417023566666666
211,4500,9000,0.20309999999999997,0.1522,0.2522,0.2167,0.17579999999999998,0.76131194
212,9000,9000,0.18318168183181682,0.1442855714428557,0.2732726727327267,0.23097690230976903,0.1682831716828317,0.7797200966666666
213,13500,9000,0.1717171717171717,0.12811281128112811,0.2839283928392839,0.25032503250325033,0.1659165916591659,0.7949300433333334
214,18000,9000,0.15181518151815182,0.12111211121112112,0.30393039303930397,0.26422642264226426,0.15891589158915892,0.8073003799999999
215,22500,9000,0.1405,0.1124,0.3105,0.28309999999999996,0.1535,0.8156527800000001
216,27000,9000,0.1261873812618738,0.1027897210278972,0.3250674932506749,0.301969803019698,0.143985601439856,0.8228260966666666
217,31500,9000,0.1104,0.09539999999999998,0.3371,0.3182,0.1389,0.8271252466666666
218,36000,9000,0.1048,0.0857,0.3505,0.32939999999999997,0.12960000000000002,0.8275153833333333
219,40500,9000,0.08960000000000001,0.07730000000000001,0.36369999999999997,0.3469,0.1225,0.8274919666666667
220,45000,9000,0.0852,0.0718,0.3654,0.36310000000000003,0.11449999999999999,0.8392703633333334
221,-45000,13500,0.42119999999999996,0.2223,0.105,0.0729,0.17859999999999998,0.54055378
