ID,x,y,Ru,Rh,Pd,Ir,Pt,Resistance
125,-4500,-9000,0.218945799,0.336570936,0.160715534,0.25854238,0.189830666,0.55154671
126,0,-9000,0.204727546,0.295471648,0.153822319,0.27333894,0.179274932,0.557416317
127,4500,-9000,0.180280859,0.270948425,0.160249652,0.274111247,0.168683844,0.563086477
128,9000,-9000,0.163054966,0.246595473,0.168087526,0.277797349,0.15097682,0.569339637
129,13500,-9000,0.151173763,0.218576078,0.162728446,0.290792844,0.139619081,0.575663313
130,18000,-9000,0.11813022,0.191038715,0.183655577,0.296248443,0.13381939,0.582082957
131,22500,-9000,0.118737484,0.171017421,0.182536729,0.299502011,0.114306981,0.589002643
132,27000,-9000,0.099698349,0.153382075,0.173833018,0.311876885,0.113332311,0.59665666
133,31500,-9000,0.08952625,0.128950654,0.185623234,0.317859255,0.098561009,0.605318147
134,36000,-9000,0.078288719,0.120200862,0.186627654,0.321062829,0.085405876,0.61413566
135,40500,-9000,0.074950479,0.109366515,0.187376198,0.316627534,0.07571528,0.624911823
136,45000,-9000,0.069396253,0.089329219,0.187517534,0.320403975,0.072349285,0.64750046
137,-45000,-4500,0.628930818,0.727389636,0.122571182,0.182852091,0.345610545,0.521291477
138,-40500,-4500,0.552658637,0.648134548,0.124853114,0.178099295,0.334165687,0.52174674
139,-36000,-4500,0.480769231,0.597988584,0.122315847,0.190269095,0.307488448,0.523651613
140,-31500,-4500,0.431525038,0.534269095,0.115389479,0.203907436,0.29400607,0.525108613
141,-27000,-4500,0.398746377,0.475258597,0.129482218,0.201580272,0.26779277,0.529256647
142,-22500,-4500,0.345953725,0.433134064,0.139765305,0.202036976,0.261541016,0.53273612
143,-18000,-4500,0.313133413,0.394989865,0.141624656,0.203991477,0.246868666,0.537331357
144,-13500,-4500,0.281447797,0.376083082,0.136422295,0.211393105,0.223683402,0.541752153
145,-9000,-4500,0.254760769,0.328048114,0.140758233,0.228005072,0.212882287,0.548951323
146,-4500,-4500,0.210495995,0.293586519,0.16064168,0.23930071,0.202740879,0.55248227
147,0,-4500,0.200073711,0.265360922,0.15900595,0.245353551,0.184278418,0.557785307
148,4500,-4500,0.172111843,0.252632003,0.152988304,0.253638505,0.175131349,0.56340111
149,9000,-4500,0.162728446,0.211835846,0.171394458,0.260943247,0.155988214,0.569411533
150,13500,-4500,0.142128044,0.183658967,0.17904442,0.271335358,0.146742591,0.575456297
151,18000,-4500,0.124941295,0.166588394,0.176335587,0.278238062,0.140005139,0.581396877
152,22500,-4500,0.100550471,0.155938443,0.178945754,0.286313206,0.130374764,0.588290853
153,27000,-4500,0.097658654,0.13705038,0.182186733,0.288051997,0.115713195,0.595624173
