ID,x,y,Ag,Au,Pd,Pt,Resistance
218,36000,9000,0.14458554144585542,0.1326867313268673,0.4557544245575442,0.266973302669733,0.940916717
219,40500,9000,0.1309,0.1273,0.4927,0.2491,0.927390363
220,45000,9000,0.1353864613538646,0.10998900109989,0.5194480551944806,0.2351764823517648,0.92364661
221,-45000,13500,0.43090000000000006,0.25079999999999997,0.0645,0.25379999999999997,0.533780563
222,-40500,13500,0.4147,0.2548,0.064,0.26649999999999996,0.562821603
223,-36000,13500,0.4008400840084008,0.24612461246124615,0.07890789078907891,0.27412741274127417,0.59632808
224,-31500,13500,0.3855614438556144,0.2463753624637536,0.08969103089691031,0.2783721627837216,0.631824963
225,-27000,13500,0.36920000000000003,0.2422,0.0947,0.2939,0.668669433
226,-22500,13500,0.35359999999999997,0.23199999999999998,0.1149,0.2995,0.706085407
227,-18000,13500,0.3393,0.22579999999999997,0.127,0.3079,0.74276463
228,-13500,13500,0.31943194319431945,0.21602160216021604,0.15211521152115212,0.3124312431243124,0.780563733
229,-9000,13500,0.30496950304969506,0.21387861213878614,0.16648335166483352,0.31466853314668536,0.817616863
230,-4500,13500,0.2889,0.2042,0.18929999999999997,0.3176,0.851936673
231,0,13500,0.2681,0.1971,0.2089,0.3259,0.883900917
232,4500,13500,0.2535746425357464,0.1934806519348065,0.2326767323267673,0.32026797320267975,0.91098304
233,9000,13500,0.2368,0.17550000000000002,0.26739999999999997,0.32030000000000003,0.93374302
234,13500,13500,0.2245224522452245,0.17231723172317231,0.2885288528852885,0.3146314631463146,0.951270343
235,18000,13500,0.2064,0.1606,0.315,0.318,0.96333381
236,22500,13500,0.18469999999999998,0.1456,0.3619,0.3078,0.971091707
237,27000,13500,0.182,0.1408,0.3797,0.2975,0.974497143
238,31500,13500,0.1681,0.12689999999999999,0.4117,0.2933,0.972396223
239,36000,13500,0.1484148414841484,0.11801180118011803,0.44184418441844187,0.2917291729172918,0.965703683
240,40500,13500,0.1352135213521352,0.11741174117411741,0.48224822482248225,0.26512651265126513,0.95519319
241,45000,13500,0.1285,0.1024,0.5122,0.2569,0.983774113
242,-40500,18000,0.4208,0.22920000000000001,0.0677,0.2823,0.59864924
243,-36000,18000,0.4056,0.2218,0.0779,0.29469999999999996,0.632124267
244,-31500,18000,0.39016098390160986,0.2256774322567743,0.0842915708429157,0.2998700129987001,0.6677629
245,-27000,18000,0.3745625437456254,0.217978202179782,0.0952904709529047,0.3121687831216878,0.704274573
246,-22500,18000,0.3637,0.21700000000000003,0.10380000000000002,0.31550000000000006,0.741709567
247,-18000,18000,0.3447,0.2054,0.124,0.3259,0.77701204
248,-13500,18000,0.3286,0.2007,0.13970000000000002,0.331,0.812701487
249,-9000,18000,0.30656934306569344,0.19158084191580843,0.15698430156984303,0.3448655134486552,0.847512463
250,-4500,18000,0.28802880288028804,0.187018701870187,0.182018201820182,0.3429342934293429,0.879748133
