ID,x,y,Ag,Au,Pd,Pt,Rh,Resistance
100,-22500,-13500,0.3268673132686731,0.19258074192580743,0.10548945105489452,0.0944905509449055,0.2805719428057194,1.0026823666666669
101,-18000,-13500,0.305,0.20679999999999998,0.12119999999999999,0.0942,0.2728,0.9986153866666666
102,-13500,-13500,0.2842,0.2407,0.1204,0.0958,0.2589,0.99246287
103,-9000,-13500,0.2638,0.2636,0.1335,0.0934,0.2457,0.9832984666666668
104,-4500,-13500,0.2386238623862386,0.29002900290029,0.1519151915191519,0.08540854085408539,0.234023402340234,0.9719237966666668
105,0,-13500,0.211978802119788,0.3121687831216878,0.171982801719828,0.08279172082791719,0.2210778922107789,0.9572591966666668
106,4500,-13500,0.2021797820217978,0.3307669233076692,0.18068193180681932,0.0800919908009199,0.2062793720627937,0.93962061
107,9000,-13500,0.1882188218821882,0.36193619361936186,0.19331933193319328,0.0742074207420742,0.1823182318231823,0.9193422666666666
108,13500,-13500,0.16820000000000002,0.37920000000000004,0.20489999999999997,0.0699,0.1778,0.8961113666666667
109,18000,-13500,0.15201520152015202,0.40574057405740577,0.22122212221222123,0.06410641064106411,0.1569156915691569,0.8700525833333334
110,22500,-13500,0.1377862213778622,0.4233576642335767,0.2385761423857614,0.058394160583941604,0.14188581141885812,0.8422332266666667
111,27000,-13500,0.1179117911791179,0.438943894389439,0.24582458245824582,0.052905290529052906,0.14441444144414442,0.8128533166666667
112,31500,-13500,0.10811081108110811,0.46564656465646564,0.2561256125612561,0.052805280528052806,0.1173117311731173,0.7826018266666667
113,36000,-13500,0.0998,0.4728,0.2669,0.0478,0.1127,0.7518431966666667
114,40500,-13500,0.0857914208579142,0.49055094490550943,0.27687231276872315,0.0450954904509549,0.10168983101689831,0.7227460266666667
115,45000,-13500,0.0735,0.5065999999999999,0.2857,0.042,0.0922,0.77869613
116,-45000,-9000,0.42875712428757123,0.11138886111388861,0.0690930906909309,0.09699030096990299,0.2937706229377062,1.0038686666666667
117,-40500,-9000,0.4095409540954096,0.1187118711871187,0.07640764076407641,0.09900990099009901,0.29632963296329634,1.00023563
118,-36000,-9000,0.3902,0.1338,0.07989999999999998,0.10159999999999998,0.29449999999999993,0.9988531266666668
119,-31500,-9000,0.3707370737073707,0.1525152515251525,0.0963096309630963,0.1000100010001,0.2804280428042804,0.9972190566666668
120,-27000,-9000,0.34433443344334436,0.169016901690169,0.09800980098009802,0.10581058105810581,0.2828282828282829,0.9948144866666666
121,-22500,-9000,0.32630000000000003,0.18899999999999997,0.1052,0.1032,0.2763,0.9910528633333332
122,-18000,-9000,0.30269999999999997,0.2065,0.1349,0.1025,0.2534,0.9857529466666668
123,-13500,-9000,0.28190000000000004,0.2291,0.1335,0.10369999999999999,0.2518,0.9788183666666668
124,-9000,-9000,0.26170000000000004,0.2582,0.1457,0.1002,0.23420000000000002,0.96904864
125,-4500,-9000,0.2537253725372537,0.2722272227222722,0.1597159715971597,0.0933093309330933,0.221022102210221,0.95660231
126,0,-9000,0.21969999999999998,0.2985,0.18489999999999998,0.0931,0.20379999999999998,0.94126086
127,4500,-9000,0.20647935206479354,0.32466753324667535,0.19208079192080796,0.08969103089691033,0.18708129187081293,0.9227569866666666
128,9000,-9000,0.19140000000000001,0.3567,0.19760000000000003,0.0819,0.1724,0.9017210733333332
129,13500,-9000,0.16901690169016897,0.3621362136213621,0.22352235223522351,0.0773077307730773,0.168016801680168,0.8780611333333332
130,18000,-9000,0.1519,0.39020000000000005,0.2266,0.0788,0.1525,0.8523339033333334
131,22500,-9000,0.13437312537492502,0.41501699660067987,0.24795040991801642,0.0666866626674665,0.13597280543891221,0.8246580366666667
132,27000,-9000,0.12498750124987501,0.42125787421257876,0.2622737726227377,0.06669333066693331,0.1247875212478752,0.7961530433333334
133,31500,-9000,0.1105,0.4558,0.2606,0.056600000000000004,0.1165,0.7669534433333334
134,36000,-9000,0.10820000000000002,0.45610000000000006,0.2736,0.05410000000000001,0.10800000000000003,0.7375402799999999
135,40500,-9000,0.0955095509550955,0.4799479947994799,0.2873287328732873,0.0462046204620462,0.091009100910091,0.7089303333333333
136,45000,-9000,0.08209999999999999,0.49859999999999993,0.29919999999999997,0.04059999999999999,0.07949999999999999,0.6996367133333333
137,-45000,-4500,0.433,0.10210000000000001,0.0759,0.1069,0.2821,0.9938855833333334
