index,Au,Cu,Pd,Pt,Composition,Similarity_to_Resistance
157,41.12,10.72,15.3,32.86,Au41.12Cu10.72Pd15.30Pt32.86,0.39713642
158,40.19,10.33,16.16,33.32,Au40.19Cu10.33Pd16.16Pt33.32,0.3985138
159,38.23,10.9,17.97,32.9,Au38.23Cu10.90Pd17.97Pt32.90,0.39697063
160,35.93,12.09,19.48,32.5,Au35.93Cu12.09Pd19.48Pt32.50,0.3941487
161,34.05,12.29,21.06,32.61,Au34.05Cu12.29Pd21.06Pt32.61,0.3938815
162,31.31,13.61,22.76,32.32,Au31.31Cu13.61Pd22.76Pt32.32,0.3908105
163,29.84,14.2,23.66,32.3,Au29.84Cu14.20Pd23.66Pt32.30,0.38953382
164,28.44,15.46,25.22,30.88,Au28.44Cu15.46Pd25.22Pt30.88,0.38514704
165,26.23,15.37,28.7,29.71,Au26.23Cu15.37Pd28.70Pt29.71,0.38368982
166,24.23,17.05,30.2,28.52,Au24.23Cu17.05Pd30.20Pt28.52,0.37854847
167,22.89,17.05,32.09,27.97,Au22.89Cu17.05Pd32.09Pt27.97,0.3776734
168,19.78,19.44,34.01,26.77,Au19.78Cu19.44Pd34.01Pt26.77,0.370795
169,19.08,19.85,35.64,25.42,Au19.08Cu19.85Pd35.64Pt25.42,0.36802816
170,17.14,20.52,38.38,23.96,Au17.14Cu20.52Pd38.38Pt23.96,0.364332
171,15.8,21.88,39.36,22.96,Au15.80Cu21.88Pd39.36Pt22.96,0.35992587
172,14.53,22.74,41.2,21.53,Au14.53Cu22.74Pd41.20Pt21.53,0.35591233
173,12.96,22.78,43.77,20.49,Au12.96Cu22.78Pd43.77Pt20.49,0.35401914
174,11.63,23.92,45.38,19.07,Au11.63Cu23.92Pd45.38Pt19.07,0.3493661
175,10.53,24.26,47.38,17.84,Au10.53Cu24.26Pd47.38Pt17.84,0.34663
176,9.18,25.25,48.81,16.76,Au9.18Cu25.25Pd48.81Pt16.76,0.3427159
177,8.58,25.44,50.46,15.52,Au8.58Cu25.44Pd50.46Pt15.52,0.34034288
178,39.39,9.83,14.47,36.31,Au39.39Cu9.83Pd14.47Pt36.31,0.40291652
179,37.03,10.64,15.3,37.03,Au37.03Cu10.64Pd15.30Pt37.03,0.40220588
180,35.36,10.66,17.27,36.72,Au35.36Cu10.66Pd17.27Pt36.72,0.40188742
181,33.24,12.35,18.14,36.28,Au33.24Cu12.35Pd18.14Pt36.28,0.39801794
182,31.54,12.79,19.68,36.0,Au31.54Cu12.79Pd19.68Pt36.00,0.39680865
183,29.61,12.92,22.54,34.93,Au29.61Cu12.92Pd22.54Pt34.93,0.39526317
184,28.13,14.67,23.12,34.08,Au28.13Cu14.67Pd23.12Pt34.08,0.3906455
185,26.45,16.14,24.39,33.02,Au26.45Cu16.14Pd24.39Pt33.02,0.3862676
186,24.18,16.28,27.13,32.41,Au24.18Cu16.28Pd27.13Pt32.41,0.38505685
187,22.47,17.89,28.34,31.3,Au22.47Cu17.89Pd28.34Pt31.30,0.3802078
188,21.02,19.12,29.54,30.32,Au21.02Cu19.12Pd29.54Pt30.32,0.3762707
189,18.96,19.86,32.52,28.66,Au18.96Cu19.86Pd32.52Pt28.66,0.37232554
190,17.66,20.76,33.64,27.95,Au17.66Cu20.76Pd33.64Pt27.95,0.36934644
191,16.08,21.78,35.93,26.21,Au16.08Cu21.78Pd35.93Pt26.21,0.36465877
192,14.73,22.52,38.12,24.63,Au14.73Cu22.52Pd38.12Pt24.63,0.36073852
193,13.04,23.82,39.84,23.3,Au13.04Cu23.82Pd39.84Pt23.30,0.3559
194,12.16,24.42,41.55,21.86,Au12.16Cu24.42Pd41.55Pt21.86,0.35246325
195,10.46,25.59,43.28,20.68,Au10.46Cu25.59Pd43.28Pt20.68,0.34802705
196,9.82,25.42,45.23,19.52,Au9.82Cu25.42Pd45.23Pt19.52,0.34655815
197,9.26,26.23,46.75,17.76,Au9.26Cu26.23Pd46.75Pt17.76,0.34222132
198,8.42,27.55,47.65,16.38,Au8.42Cu27.55Pd47.65Pt16.38,0.3373082
199,35.99,9.23,14.76,40.02,Au35.99Cu9.23Pd14.76Pt40.02,0.40829504
200,34.63,10.2,15.08,40.09,Au34.63Cu10.20Pd15.08Pt40.09,0.4064886
201,32.34,11.66,16.72,39.27,Au32.34Cu11.66Pd16.72Pt39.27,0.40273857
202,31.08,12.18,17.79,38.96,Au31.08Cu12.18Pd17.79Pt38.96,0.40135843
203,29.53,13.14,18.82,38.51,Au29.53Cu13.14Pd18.82Pt38.51,0.39891058
204,27.33,13.66,20.62,38.39,Au27.33Cu13.66Pd20.62Pt38.39,0.39766958
205,26.09,14.78,22.04,37.08,Au26.09Cu14.78Pd22.04Pt37.08,0.3938476
206,23.88,15.92,23.22,36.98,Au23.88Cu15.92Pd23.22Pt36.98,0.39127257
207,22.06,17.22,25.59,35.13,Au22.06Cu17.22Pd25.59Pt35.13,0.38627058
208,21.11,18.5,27.18,33.22,Au21.11Cu18.50Pd27.18Pt33.22,0.38121194
209,18.98,19.47,28.71,32.84,Au18.98Cu19.47Pd28.71Pt32.84,0.37849802
210,17.47,20.54,30.68,31.31,Au17.47Cu20.54Pd30.68Pt31.31,0.37415442
211,15.76,20.86,33.37,30.01,Au15.76Cu20.86Pd33.37Pt30.01,0.37155664
212,14.53,22.88,34.34,28.26,Au14.53Cu22.88Pd34.34Pt28.26,0.36488026
213,13.12,23.12,36.58,27.17,Au13.12Cu23.12Pd36.58Pt27.17,0.36267322
214,11.95,23.93,38.54,25.58,Au11.95Cu23.93Pd38.54Pt25.58,0.3586167
215,11.08,25.21,39.96,23.75,Au11.08Cu25.21Pd39.96Pt23.75,0.35327238
216,10.17,27.09,40.74,21.99,Au10.17Cu27.09Pd40.74Pt21.99,0.34672529
217,9.21,26.63,43.1,21.05,Au9.21Cu26.63Pd43.10Pt21.05,0.3461395
218,8.37,26.6,45.23,19.8,Au8.37Cu26.60Pd45.23Pt19.80,0.34422052
219,7.98,28.28,46.04,17.7,Au7.98Cu28.28Pd46.04Pt17.70,0.33764225
220,32.55,11.44,13.22,42.79,Au32.55Cu11.44Pd13.22Pt42.79,0.40686506
